Product_Name, Pricing, Rating,
Apple iPhone XR (Black| 64 GB),RS.59900,4.677,
Apple iPhone XR (Black| 128 GB),RS.64900,4.677,
Apple iPhone 6s (Rose Gold| 32 GB),RS.29799,4.515,187
Apple iPhone XR (White| 64 GB),RS.59900,4.677,
Apple iPhone 6s (Space Grey| 32 GB),RS.29799,4.525,296
Apple iPhone 6s (Gold| 32 GB),RS.29799,4.414,753
Apple iPhone XR ((PRODUCT)RED| 128 GB),RS.64900,4.677,
Apple iPhone 6s (Silver| 32 GB),RS.29799,4.45,387
Apple iPhone XR (Coral| 64 GB),RS.59900,4.677,
Apple iPhone XR (Coral| 128 GB),RS.64900,4.677,
Apple iPhone 7 (Silver| 32 GB),RS.38999,4.53,908
Apple iPhone 7 (Rose Gold| 128 GB),RS.48999,4.5862,
Apple iPhone 6 (Space Grey| 32 GB),RS.26999,4.458,694
Apple iPhone 6s Plus (Rose Gold| 32 GB),RS.34900,4.43,959
Apple iPhone 6s Plus (Gold| 32 GB),RS.39990,4.44,2
Apple iPhone 7 (Black| 128 GB),RS.48999,4.62,853
Apple iPhone 6s Plus (Silver| 32 GB),RS.34900,4.41,414
Apple iPhone XS Max (Space Grey| 64 GB),RS.109900Up to ,4.7995,
Apple iPhone 6s Plus (Silver| 16 GB),RS.42980,4.3428,
Apple iPhone 8 (Space Grey| 256 GB),RS.70990,4.62,516
Apple iPhone 8 Plus (Silver| 64 GB),RS.68999,4.62,978
Apple iPhone 8 Plus (Gold| 256 GB),RS.79999,4.62,978
Apple iPhone XR (White| 256 GB),RS.78990,4.677,
Apple iPhone 8 Plus (Silver| 256 GB),RS.79999,4.62,978
